timestamp,a1,a2,a3,s1,s2,s3
0,0,0,1,0.0005639639566652477,0.041162893176078796,0.9582731127738953
1,0,0,1,0.0010716657852753997,0.0992368832230568,0.8996914625167847
2,0,0,1,0.00048404658446088433,0.14406214654445648,0.8554537892341614
3,0,0,1,0.0005523324944078922,0.11123844236135483,0.8882092833518982
4,0,0,0,0.052071209996938705,0.9211574792861938,0.026771409437060356
5,0,0,0,0.007919392548501492,0.9860742092132568,0.006006354000419378
6,0,0,0,0.05276407673954964,0.914696455001831,0.03253953903913498
7,0,0,0,0.14323581755161285,0.8248440027236938,0.03192013129591942
8,0,0,0,0.009308282285928726,0.9805155992507935,0.010176165029406548
9,0,0,0,0.0002099405537592247,0.11732430011034012,0.8824657201766968
10,0,0,0,0.00013578009384218603,0.04708852991461754,0.9527757167816162
11,0,0,0,4.437958705238998e-05,0.024689167737960815,0.9752664566040039
12,0,0,0,6.386105087585747e-05,0.03903656825423241,0.9608995318412781
13,0,0,0,9.055690316017717e-05,0.017805205658078194,0.9821042418479919
14,0,0,0,0.0009657263290137053,0.031770020723342896,0.9672642350196838
15,0,0,0,0.00022459024330601096,0.10133858025074005,0.8984368443489075
16,0,0,0,0.000548206502571702,0.0450483039021492,0.9544034600257874
17,0,0,0,0.00040960105252452195,0.3711688220500946,0.6284216046333313
18,0,0,0,0.0001645134761929512,0.021524878218770027,0.9783105850219727
19,0,0,0,0.00055260444059968,0.03228555992245674,0.9671618938446045
20,0,0,0,0.00018006334721576422,0.06705665588378906,0.9327632784843445
21,0,0,0,0.00020345798111520708,0.029787970706820488,0.9700085520744324
22,0,0,0,0.000803469680249691,0.03272160887718201,0.9664749503135681
23,0,0,0,7.447207462973893e-05,0.0037475975695997477,0.9961779117584229
24,0,0,0,0.00010675102384993806,0.02455456182360649,0.9753386974334717
25,0,0,0,0.00019791357044596225,0.009452861733734608,0.990349292755127
26,0,0,0,0.00017852602468337864,0.15401610732078552,0.8458053469657898
27,0,0,0,0.0018314938060939312,0.09252694994211197,0.9056415557861328
28,0,0,0,0.0001780836610123515,0.041950125247240067,0.9578717947006226
29,0,0,0,0.00023620120191480964,0.11543633043766022,0.8843274116516113
